,title,vote_average,vote_count,overview
60,The Lord of the Rings: The Two Towers,8.0,7641.0,frodo sam trekking mordor destroy one ring power gimli legolas aragorn search orc captured merry pippin along nefarious wizard saruman awaits fellowship member orthanc tower isengard
61,Back to the Future,8.0,6239.0,eighty teenager marty mcfly accidentally sent back time inadvertently disrupting parent first meeting attracting mother romantic interest marty must repair damage history rekindling parent romance help eccentric inventor friend doc brown return
62,The Imitation Game,8.0,5895.0,based real life story legendary cryptanalyst alan turing film portrays nail biting race time turing brilliant team code breaker britain top secret government code cypher school bletchley park darkest day world war ii
63,The Lion King,8.0,5520.0,young lion cub named simba wait king uncle craves title stop nothing get
64,The Grand Budapest Hotel,8.0,4644.0,grand budapest hotel tell legendary concierge famous european hotel war friendship young employee becomes trusted prot g story involves theft recovery priceless renaissance painting battle enormous family fortune slow sudden upheaval transformed europe first half th century
65,The Prestige,8.0,4510.0,mysterious story two magician whose intense rivalry lead life long battle supremacy full obsession deceit jealousy dangerous deadly consequence
66,A Clockwork Orange,8.0,3432.0,demonic gang leader alex go spree rape mugging murder pack droogs boy also like beethoven ninth bit old later find mercy state brainwashing experiment designed take violence street
67,Scarface,8.0,3017.0,getting green card exchange assassinating cuban government official tony montana stake claim drug trade miami viciously murdering anyone stand way tony eventually becomes biggest drug lord state controlling nearly cocaine come miami increased pressure police war colombian drug cartel drug fueled paranoia serve fuel flame eventual downfall
68,Apocalypse Now,8.0,2112.0,height vietnam war captain benjamin willard sent dangerous mission officially exist ever exist goal locate eliminate mysterious green beret colonel named walter kurtz leading personal army illegal guerrilla mission enemy territory
69,Oldboy,8.0,2000.0,clue came imprisoned drugged tortured year desperate businessman seek revenge captor
70,My Neighbor Totoro,8.0,1730.0,two sister move country father order closer hospitalized mother discover surrounding tree inhabited totoros magical spirit forest youngest run away home older sister seek help spirit find
71,Lion,8.0,1699.0,five year old indian boy get lost street calcutta thousand kilometer home survives many challenge adopted couple australia year later set find lost family
72,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.0,1472.0,insane general jack ripper initiate nuclear strike soviet union soon action general buck turgidson discovered war room full politician general russian diplomat frantically try stop nuclear strike near end scene probably uniquely unforgettable performance slim pickens movie career peter seller play multiple role film
73,Citizen Kane,8.0,1244.0,newspaper magnate charles foster kane taken mother boy made ward rich industrialist result every well meaning tyrannical self destructive move make rest life appears way reaction deeply wounding event
74,Vertigo,8.0,1162.0,retired san francisco detective suffering acrophobia investigates strange activity old friend wife becoming dangerously obsessed
75,It's a Wonderful Life,8.0,1103.0,george bailey spent entire life giving people bedford fall always longed travel never opportunity order prevent rich skinflint mr potter taking entire town prevents george modest building loan company founded generous father christmas eve george uncle billy loses business intending deposit bank potter find misplaced money hide billy george trouble begin
76,Some Like It Hot,8.0,835.0,two musician witness mob hit struggle find way city found gangster opportunity join girl band leave tour make getaway must first disguise woman keep identity secret deal problem brings attractive bandmate determined suitor
77,Paperman,8.0,734.0,urban office worker find paper airplane instrumental meeting girl way never expected
78,Sing Street,8.0,669.0,boy growing dublin escape strained family life starting band impress mysterious girl like
79,Metropolis,8.0,666.0,futuristic city sharply divided working class city planner son city mastermind fall love working class prophet predicts coming savior mediate difference
80,Wolf Children,8.0,483.0,hana nineteen year old college student fall love man reveal secret wolf man eventually couple bear two child together son daughter name ame yuki inherit ability transform wolf father man hana fell love suddenly dy make decision move rural town isolated society continue raising child protection
81,Rashomon,8.0,471.0,ancient japan crime take place told three different traveler experienced crime man killed wife raped story true akira kurosawa film moral truth communication
82,M,8.0,465.0,classic german thriller han beckert serial killer prey child becomes focus massive berlin police manhunt beckert heinous crime repellant disruptive city life even targeted others seedy underworld network cop criminal pursuit murderer soon realizes people trail sending tense panicked attempt escape justice
83,Double Indemnity,8.0,425.0,unsuspecting mr dietrichson becomes increasingly accident prone icily calculating wife encourages sign double indemnity policy proposed smooth talking insurance agent backdrop distinctly california setting partner crime plan perfect murder collect insurance perfect claim manager get familiar feeling foul play pursues matter relentlessly
84,Bicycle Thieves,8.0,404.0,antonio unemployed man depressed post wwii economy italy last find good job hanging poster requirement must bicycle antonio bicycle stolen son forced walk street rome search else face ruin
85,The Kid,8.0,404.0,considered one charlie chaplin best film kid also made star little jackie coogan play boy cared tramp abandoned mother edna later edna change heart ache reunited son find wrests tramp make turn one heart wrenching scene ever included comedy
86,Mustang,8.0,378.0,turkish village five orphaned sister live strict rule member family prepare arranged marriage
87,Presto,8.0,371.0,dignity poise mystery expect nothing le great turn century magician presto presto neglect feed rabbit one many time magician find one trick sleeve
88,On the Waterfront,8.0,368.0,terry malloy dream prize fighter tending pigeon running errand dock johnny friendly corrupt bos docker union terry witness murder two johnny thug later meet dead man sister feel responsible death introduces father barry try force provide information court smash dock racketeer
89,All About Eve,8.0,367.0,moment glimpse idol stage door eve harrington determined take rein power away great actress margo channing eve maneuver way margo broadway role becomes sensation even cause turmoil life margo director boyfriend playwright wife cynical drama critic see eve admiring audacity perfect pattern deceit
90,The 400 Blows,8.0,363.0,young parisian boy antoine doinel life one difficult situation another surrounded inconsiderate adult including neglectful parent antoine spends day best friend rene trying plan better life one scheme go awry antoine end trouble law leading even conflict unsympathetic authority figure
91,Persona,8.0,353.0,young nurse alma put charge elisabeth vogler actress seemingly healthy respect talk spend time together alma speaks elisabeth constantly never receiving answer alma eventually confesses secret seemingly sympathetic elisabeth find personality submerged elisabeth persona
92,The Tale of the Princess Kaguya,8.0,350.0,found inside shining stalk bamboo old bamboo cutter wife tiny girl grows rapidly exquisite young lady mysterious young princess enthralls encounter ultimately must confront fate punishment crime
93,Yojimbo,8.0,334.0,nameless ronin samurai master enters small village feudal japan two rival businessmen struggling control local gambling trade taking name sanjuro kuwabatake ronin convinces silk merchant tazaemon sake merchant tokuemon hire personal bodyguard artfully set motion full scale gang war two ambitious unscrupulous men
94,Guardians of the Galaxy,7.9,10014.0,light year earth year abducted peter quill find prime target manhunt discovering orb wanted ronan accuser
95,The Matrix,7.9,9079.0,set nd century matrix tell story computer hacker join group underground insurgent fighting vast powerful computer rule earth
96,The Wolf of Wall Street,7.9,6768.0,new york stockbroker refuse cooperate large security fraud case involving corruption wall street corporate banking world mob infiltration based jordan belfort autobiography
97,Inglourious Basterds,7.9,6598.0,nazi occupied france world war ii group jewish american soldier known basterds chosen specifically spread fear throughout third reich scalping brutally killing nazi basterds lead lt aldo raine soon cross path french jewish teenage girl run movie theater paris targeted soldier
98,Harry Potter and the Deathly Hallows: Part 2,7.9,6141.0,harry ron hermione continue quest vanquish evil voldemort thing begin look hopeless young wizard harry discovers trio magical object endow power rival voldemort formidable skill
99,Gone Girl,7.9,6023.0,wife disappearance become focus intense medium circus man see spotlight turned suspected may innocent
100,Gladiator,7.9,5566.0,year death emperor marcus aurelius throw roman empire chaos maximus one roman army capable trusted general key advisor emperor marcus devious son commodus ascends throne maximus set executed escape captured slave trader renamed spaniard forced become gladiator maximus must battle death men amusement paying audience battle skill serve well becomes one famous admired men fight colosseum determined avenge man took away freedom laid waste family maximus belief use fame skill ring avenge loss family former glory gladiator begin challenge rule commodus decides put fighting mettle test squaring maximus battle death
101,Saving Private Ryan,7.9,5148.0,u troop storm beach normandy three brother lie dead battlefield fourth trapped behind enemy line ranger captain john miller seven men tasked penetrating german held territory bringing boy home
102,Return of the Jedi,7.9,4763.0,rebel leader map strategy attack emperor newer bigger death star han solo remains frozen cavernous desert fortress jabba hutt loathsome outlaw universe also keeping princess leia slave girl master force luke skywalker rescue friend cannot become true jedi knight wage crucial battle darth vader sworn win luke dark side force
103,La La Land,7.9,4745.0,mia aspiring actress serf latte movie star audition sebastian jazz musician scrape playing cocktail party gig dingy bar success mount faced decision begin fray fragile fabric love affair dream worked hard maintain threaten rip apart
104,Alien,7.9,4564.0,return earth commercial spaceship nostromo intercept distress signal distant planet three member team crew discovers chamber containing thousand egg planet creature inside one egg attack explorer entire crew unaware impending nightmare set descend upon alien parasite planted inside unfortunate host birthed
105,The Departed,7.9,4455.0,take south boston irish mafia police send one infiltrate underworld realizing syndicate done likewise undercover cop curry favor mob kingpin career criminal rise police rank side soon discover mole among
106,Her,7.9,4215.0,distant future theodore lonely writer purchase newly developed operating system designed meet user every need theordore surprise romantic relationship develops operating system unconventional love story blend science fiction romance sweet tale explores nature love way technology isolates connects u
107,Blade Runner,7.9,3833.0,smog choked dystopian los angeles blade runner rick deckard called retirement terminate quartet replicants escaped earth seeking creator way extend short life span
108,12 Years a Slave,7.9,3787.0,pre civil war united state solomon northup free black man upstate new york abducted sold slavery facing cruelty well unexpected kindness solomon struggle stay alive retain dignity twelfth year unforgettable odyssey solomon chance meeting canadian abolitionist forever alter life
109,Eternal Sunshine of the Spotless Mind,7.9,3758.0,joel barish heartbroken girlfriend underwent procedure erase memory decides however watch memory fade away realises still love may late correct mistake
110,American Beauty,7.9,3438.0,lester burnham depressed suburban father mid life crisis decides turn hectic life around developing infatuation daughter attractive friend
111,Prisoners,7.9,3183.0,keller dover daughter friend go missing take matter hand police pursue multiple lead pressure mount far desperate father go protect family
112,2001: A Space Odyssey,7.9,3075.0,humanity find mysterious object buried beneath lunar surface set find origin help hal world advanced super computer
113,Dallas Buyers Club,7.9,2973.0,loosely based true life tale ron woodroof drug taking woman loving homophobic man diagnosed hiv aid given thirty day live
114,Good Will Hunting,7.9,2880.0,hunting genius level iq chooses work janitor mit solves difficult graduate level math problem talent discovered professor gerald lambeau decides help misguided youth reach potential arrested attacking police officer professor lambeau make deal get leniency get treatment therapist sean maguire
115,Full Metal Jacket,7.9,2595.0,pragmatic u marine observes dehumanizing effect u vietnam war fellow recruit brutal boot camp training bloody street fighting hue
116,Requiem for a Dream,7.9,2525.0,hope dream four ambitious people shattered drug addiction begin spiraling control look addiction overcomes mind body
117,The Help,7.9,1966.0,aibileen clark middle aged african american maid spent life raising white child recently lost son minny jackson african american maid often offended employer despite family struggle money desperate need job eugenia skeeter phelan young white woman recently moved back home graduating college find childhood maid mysteriously disappeared three story intertwine explain life jackson mississippi revolves around help yet always kept certain distance racial line
118,Mr. Nobody,7.9,1616.0,nemo nobody lead ordinary existence wife child one day wake mortal centenarian year
119,There Will Be Blood,7.9,1581.0,ruthless oil prospector daniel plainview learns oil rich land california bought cheaply move operation begin manipulating exploiting local landowner selling property using young adopted son project image caring family man plainview gain cooperation almost local lofty promise build school cultivate land make community flourish time plainview gradual accumulation wealth power cause true self surface begin slowly alienate everyone life
120,Captain Fantastic,7.9,1569.0,father living forest pacific northwest six young kid try assimilate back society
121,Casablanca,7.9,1462.0,casablanca morocco december cynical american expatriate meet former lover unforeseen complication
122,The Lives of Others,7.9,977.0,tragic love story set east berlin backdrop undercover stasi controlled culture stasi captain wieler ordered follow author dreyman plunge deeper deeper life reach threshold doubting system
123,Chinatown,7.9,939.0,private eye jake gittes life murky moral climate sunbaked pre world war ii southern california hired beautiful socialite investigate husband extra marital affair gittes swept maelstrom double dealing deadly deceit uncovering web personal political scandal come crashing together
124,Singin' in the Rain,7.9,747.0,hollywood lockwood lina lamont famous screen romantic pair silent movie lina mistake screen romance real love latest film transformed musical perfect voice song strident voice face studio dub voice aspiring actress kathy selden brought working movie fall love
125,The Elephant Man,7.9,740.0,victorian surgeon rescue heavily disfigured man mistreated owner side show freak behind monstrous fa ade revealed person great intelligence sensitivity based true story joseph merrick called john merrick film severely deformed man th century london
126,La Haine,7.9,695.0,aimlessly whiling away day concrete environs dead end suburbia vinz hubert said jew african arab give human face france immigrant population bristling resentment social marginalization slowly simmering reach climactic boiling point la haine mean hate
127,To Kill a Mockingbird,7.9,676.0,small alabama town scrupulously honest highly respected lawyer atticus finch put career line agrees represent tom robinson black man accused rape trial event surrounding seen eye finch six year old daughter scout robinson trial give movie momentum plenty anecdotal occurrence court date scout ever strengthening bond older brother jem friendship precocious young dill harris father nonsense reaction life death crisis rampaging mad dog especially scout reaction relationship boo radley reclusive village idiot turn salvation attacked venomous bigot
128,The Sting,7.9,639.0,set intricate caper deal ambitious small time crook veteran con man seek revenge vicious crime lord murdered one gang
129,Das Boot,7.9,623.0,german submarine hunt allied ship second world war soon becomes hunted crew try survive surface stretching boat limit
130,The Seventh Seal,7.9,569.0,disillusioned swedish knight antonius block return home crusade find country grip black death challenge death chess match life tormented belief god exist block set journey meeting traveling player jof wife mia becoming determined evade death long enough commit one redemptive act still life
131,Dial M for Murder,7.9,539.0,ex tennis pro carry plot wife murdered discovering affair assumes soon leave man anyway thing go wrong improvises new plan frame murder instead
132,Citizenfour,7.9,516.0,june laura poitras reporter glenn greenwald flew hong kong first many meeting edward snowden brought camera film resulted series tense encounter absolutely sui generis history cinema real life thriller unfolding minute minute eye poitras great brave filmmaker also masterful storyteller compress many day questioning waiting confirming watching world reaction agonizing next move great character study snowden narrative leave edge seat inexorably move toward conclusion
133,Incendies,7.9,496.0,mother last wish send twin jeanne simon journey middle east search tangled root adapted wajdi mouawad acclaimed play incendies tell powerful moving tale two young adult voyage core deep rooted hatred never ending war enduring love
134,Short Term 12,7.9,460.0,grace compassionate young supervisor foster care facility work boyfriend colleague mason help risk teen new charge dredge memory troubled past grace tough exterior begin eroding
135,Blackfish,7.9,456.0,notorious killer whale tilikum responsible death three individual including top killer whale trainer blackfish show sometimes devastating consequence keeping intelligent sentient creature captivity
136,The Third Man,7.9,431.0,set postwar vienna austria third man star joseph cotten holly martin writer pulp western arrives penniless guest childhood chum harry lime find dead martin develops conspiracy theory learning third man present time harry death running interference british officer maj calloway falling head heel harry grief stricken lover anna
137,8½,7.9,427.0,frederico fellini leaf self portrait dream reality mix help excellent cast unique scenery self reflecting film one master work
138,Memories of Murder,7.9,427.0,gyunggi province body young woman found brutally raped murdered two month later series rape murder commences similar circumstance country never known crime dark whisper serial murderer grow louder special task force set area two local detective park doo man jo young goo joined detective seoul requested assigned case
139,"Batman: The Dark Knight Returns, Part 2",7.9,426.0,batman stopped reign terror mutant cast upon city old foe want reunion government want man steel put stop batman
140,Victoria,7.9,388.0,young spanish woman newly moved berlin find flirtation local guy turn potentially deadly night friend reveals dangerous secret
141,Three Men and a Leg,7.9,367.0,three friend leave milan car heading south two married two sister third one going marry third sister marriage going take place villa vulgar rich father law also bringing work modern art wooden leg worth million even look like
142,Ran,7.9,349.0,set japan th century elderly warlord retires handing empire three son however vastly underestimate new found power corrupt cause turn
143,The Night of the Hunter,7.9,335.0,deep south serial killing preacher hunt two young child know whereabouts stash money
144,Partly Cloudy,7.9,335.0,everyone know stork delivers baby stork get baby answer lie stratosphere cloud people sculpt baby cloud bring life gu lonely insecure grey cloud master creating dangerous baby crocodile porcupine ram gu beloved creation work art handful loyal delivery stork partner peck gu creation become rambunctious peck job get harder harder peck manage handle hazardous cargo friend fiery temperament
145,The Normal Heart,7.9,320.0,story onset hiv aid crisis new york city early taking unflinching look nation sexual politics gay activist ally medical community fight expose truth burgeoning epidemic city nation denial
146,The Pacific,7.9,318.0,part mini series creator band brother telling intertwined story three marine america battle japanese pacific world war ii
147,A Trip to the Moon,7.9,314.0,trip moon science fiction film french film pioneer george li year trip moon film first film self contained plot beginning science fiction genre
148,Wild Strawberries,7.9,306.0,professor medicine isak borg travel lund university order receive anniversary title along road meet stranger relative dream confronted past well fear insufficiency
149,La Dolce Vita,7.9,305.0,episodic journey italian journalist scouring rome search love
150,The Boy and the Beast,7.9,304.0,kyuta boy living shibuya kumatetsu lonesome beast jutengai imaginary world one day kyuta foray imaginary world looking way back meet kumatetsu becomes spirit guide encounter lead many adventure
151,Django Unchained,7.8,10297.0,help german bounty hunter freed slave set rescue wife brutal mississippi plantation owner
152,Up,7.8,7048.0,carl fredricksen spent entire life dreaming exploring globe experiencing life fullest age life seems passed twist fate persistent year old wilderness explorer named russell give new lease life
153,Shutter Island,7.8,6559.0,world war ii soldier turned u marshal teddy daniel investigates disappearance patient hospital criminally insane effort compromised troubling vision also mysterious doctor
154,WALL·E,7.8,6439.0,wall e last robot left earth overrun garbage human fled outer space year continued try clean mess developed rather interesting human like quality ship arrives sleek new type robot wall e think finally found friend stows away ship leaf
155,Big Hero 6,7.8,6289.0,special bond develops plus sized inflatable robot baymax prodigy hiro hamada team group friend form band high tech hero
156,The Truman Show,7.8,4702.0,truman burbank star truman show hour day reality tv show broadcast every aspect life live color without knowledge entire life unending soap opera consumption rest world everyone know including wife best friend really actor paid part life
157,Amélie,7.8,3403.0,tiny parisian caf adorable yet painfully shy lie audrey tautou accidentally discovers gift helping others soon amelie spending day matchmaker guardian angel around gooder bump handsome stranger find courage become star love story
158,Hacksaw Ridge,7.8,3294.0,wwii american army medic desmond dos served battle okinawa refuse kill people becomes first conscientious objector american history receive congressional medal honor
159,Gran Torino,7.8,3181.0,walt kowalski widower hold onto prejudice despite change michigan neighborhood world around kowalski grumpy tough minded unhappy old man get along either kid neighbor korean war veteran whose prize possession gran torino keep mint condition neighbor thao young hmong teenager pressure gang member cousin try steal gran torino kowalski set reform youth drawn life thao family kowalski soon taking step protect gang infest neighborhood
160,Into the Wild,7.8,3139.0,true story top student athlete christopher mccandless graduating emory university abandoned possession gave entire saving account charity hitchhiked alaska live wilderness
161,The Big Lebowski,7.8,3001.0,jeffrey dude lebowski los angeles slacker want bowl drink white russian mistaken another jeffrey lebowski wheelchair bound millionaire find dragged strange series event involving nihilist adult film producer ferret errant toe large sum money
162,Spotlight,7.8,2751.0,true story boston globe uncovered massive scandal child abuse cover within local catholic archdiocese shaking entire catholic church core
163,Trainspotting,7.8,2737.0,renton deeply immersed edinburgh drug scene try clean get despite allure drug influence friend
164,The Breakfast Club,7.8,2189.0,five high school student different stereotype meet detention pour heart discover lot common thought
165,Hidden Figures,7.8,2178.0,untold story katherine g johnson dorothy vaughan mary jackson brilliant african american woman working nasa serving brain behind one greatest operation history launch astronaut john glenn orbit visionary trio crossed gender race line inspire generation dream big
